iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
0,147034,0.7399996,0,0,0,0,0.0,0
1,49077,0.39999992,0,6,20,374,5.645,11
2,318502,0.90999943,6,0,23,371,14.02,20
3,371437,0.37999994,0,4,10,386,5.535,11
4,83011,0.47999984,0,9,11,380,7.075,12
5,402514,0.43999988,0,5,10,385,6.395,12
6,23527,0.35999995,6,0,23,371,5.075,12
7,228381,0.7599996,4,0,19,377,11.59,17
8,345423,0.97999936,6,0,12,382,15.02,21
9,374134,0.38999993,8,0,1,391,5.515,11
10,143628,0.7199996,0,0,0,0,0.0,0
11,245366,0.78999954,0,6,21,373,11.965,18
12,304413,0.88999945,6,3,11,380,13.475,19
13,52938,0.43999988,4,0,15,381,6.265,13
14,174918,0.6499997,0,9,9,382,9.71,16
15,333025,0.3,0,6,13,381,4.16,9
16,343077,0.32999998,6,0,7,387,4.485,11
17,258224,0.9299994,0,0,0,0,0.0,0
18,169863,0.6399997,1,6,12,381,9.61,15
19,242669,0.77999955,2,5,24,369,11.785,17
20,451259,0.5499998,7,0,4,389,8.15,14
21,304546,0.99999934,0,0,0,0,0.0,0
22,250911,0.79999954,0,5,17,378,12.115,18
23,126688,0.56999975,0,5,8,387,8.345,14
24,436352,0.5099998,0,7,12,381,7.54,13
25,411185,0.45999986,4,0,17,379,6.83,12
26,232258,0.76999956,9,0,6,385,11.655,17
27,120762,0.5399998,4,0,18,378,8.14,13
28,263005,0.9599994,0,0,0,0,0.0,0
29,129560,0.65999967,0,0,0,0,0.0,0
30,457529,0.56999975,2,3,19,376,8.325,13
31,186759,0.69999963,2,2,16,380,10.42,16
32,413858,0.46999985,6,0,8,386,6.93,12
33,397842,0.4299999,0,4,16,380,6.02,11
34,21865,0.31,0,4,15,381,4.225,9
35,50836,0.4099999,0,5,6,389,5.815,11
36,56023,0.44999987,7,0,7,386,6.61,13
37,378076,0.39999992,1,7,21,371,5.77,11
38,279994,0.8499995,5,2,23,370,13.035,19
39,314552,0.89999944,6,0,11,383,13.86,20
40,80752,0.46999985,7,0,13,380,6.945,13
41,169461,0.6299997,5,0,11,384,9.48,15
42,204697,0.7499996,8,0,4,388,11.46,17
43,141807,0.6099997,7,0,14,379,9.29,14
44,263446,0.8299995,7,0,8,385,12.655,18
45,325337,0.31,3,2,22,373,4.07,9
46,190259,0.8199995,0,0,0,0,0.0,0
47,364249,0.98999935,0,5,16,379,15.305,21
48,137515,0.68999964,0,0,0,0,0.0,0
49,47647,0.37999994,7,0,5,388,5.345,11
50,448960,0.5399998,0,6,15,379,7.96,14
51,230312,0.8599995,0,0,0,0,0.0,0
52,341521,0.9699994,2,1,20,377,14.87,20
53,385246,0.4099999,0,6,10,384,5.86,12
54,426727,0.49999982,8,0,9,383,7.26,13
55,24905,0.3,0,3,11,386,4.32,8
56,21995,0.32999998,8,0,2,390,4.63,10
57,387627,0.4199999,0,5,9,386,6.01,11
58,453777,0.55999976,0,2,7,391,8.395,15
59,188652,0.7099996,5,0,15,380,10.7,16
60,22603,0.33999997,5,0,4,391,4.915,10
61,302907,0.87999946,5,0,10,385,13.535,20
62,179794,0.66999966,0,5,10,385,10.105,16
63,23395,0.34999996,5,0,11,384,5.03,11
64,418123,0.47999984,0,7,12,381,7.11,13
65,84583,0.48999983,6,0,10,384,7.215,12
66,122083,0.5499998,9,0,2,389,8.145,14
67,79474,0.45999986,1,6,16,377,6.665,12
68,23590,0.32,3,2,6,389,4.56,9
69,350490,0.33999997,5,0,14,381,5.015,10
70,206401,0.8399995,0,0,0,0,0.0,0
71,136366,0.58999974,4,0,17,379,8.93,15
72,53347,0.4299999,0,7,20,373,6.325,12
73,460075,0.57999974,0,7,15,378,8.635,15
74,145341,0.7299996,0,0,0,0,0.0,0
75,370093,0.36999995,5,0,9,386,5.225,10
76,232317,0.86999947,0,0,0,0,0.0,0
77,341246,0.32,0,5,13,382,4.125,9
78,362783,0.35999995,0,7,22,371,5.175,10
79,259817,0.9399994,0,0,0,0,0.0,0
80,88866,0.5199998,4,0,18,378,7.67,13
81,51932,0.4199999,10,0,10,380,6.015,13
82,86349,0.49999982,8,0,3,389,7.235,13
83,409450,0.44999987,7,0,11,382,6.53,11
84,88996,0.5099998,0,6,15,379,7.725,13
85,135794,0.5999997,5,1,17,377,9.065,14
86,440780,0.5199998,6,0,10,384,7.485,14
87,92693,0.5299998,7,0,6,387,7.895,13
88,424261,0.48999983,6,0,9,385,7.22,12
89,256618,0.8099995,0,7,10,383,12.32,18
90,23120,0.36999995,0,6,19,375,5.1,10
91,122298,0.6199997,0,0,0,0,0.0,0
92,352011,0.34999996,4,0,19,377,4.855,10
93,323009,0.9199994,0,4,13,383,13.945,20
94,261420,0.9499994,0,0,0,0,0.0,0
95,182946,0.67999965,5,1,4,390,10.36,15
96,132149,0.57999974,0,9,27,364,8.705,14
97,127664,0.55999976,0,7,7,386,8.495,13
98,47802,0.38999993,0,5,7,388,5.595,11
99,447819,0.5299998,10,0,7,383,7.76,14
100,2712521,0.47999984,7,0,7,386,6.94,12
101,1341236,0.58999974,7,0,5,388,8.825,14
102,882151,0.43999988,7,0,7,386,6.275,11
103,1725385,0.6499997,1,4,14,381,9.795,16
104,2231728,0.88999945,0,6,25,369,13.735,19
105,1768216,0.7099996,1,5,17,377,10.76,16
106,1992418,0.47999984,4,0,22,374,6.825,12
